date,impressions,clicks,conversions,cost,total_conversion_value,average_position,reservations,price
2015-04-02,61,8,0,12.97,0.0,1.54590163934,9,13569.0
2015-04-03,57,20,1,35.06,3780.0,1.61052631579,12,27358.0
2015-04-04,44,14,1,25.85,1190.0,1.85227272727,6,5600.0
2015-04-05,45,7,1,18.47,2380.0,1.49555555556,6,11670.0
2015-04-06,38,12,0,25.17,0.0,1.44473684211,1,1190.0
2015-04-07,54,15,0,20.52,0.0,1.65925925926,50,47747.0
2015-04-08,60,17,2,24.42,2380.0,2.06333333333,23,31381.0
2015-04-09,67,19,0,32.73,0.0,1.38507462687,22,32120.0
2015-04-10,52,13,0,28.44,0.0,1.30769230769,40,80612.0
2015-04-11,36,5,0,6.44,0.0,2.03333333333,4,4900.0
2015-04-12,32,10,0,16.38,0.0,1.384375,7,10037.0
2015-04-13,60,17,0,22.35,0.0,1.35166666667,15,36490.0
2015-04-14,63,15,2,23.15,12910.0,1.6619047619,21,53223.0
2015-04-15,55,13,0,19.09,0.0,2.29636363636,12,21748.0
2015-04-16,42,10,0,13.98,0.0,1.37857142857,4,2200.0
2015-04-17,80,23,0,39.98,0.0,2.08125,7,6495.0
2015-04-18,49,12,0,29.85,0.0,1.55102040816,2,3152.0
2015-04-19,31,8,0,8.55,0.0,1.8,3,5000.0
2015-04-20,90,17,0,24.1,0.0,1.62222222222,7,13115.0
2015-04-21,71,19,0,25.47,0.0,1.78028169014,8,8789.0
2015-04-22,90,20,0,37.64,0.0,1.87555555556,6,4901.0
2015-04-23,63,14,0,24.73,0.0,1.92380952381,4,16870.0
2015-04-24,69,10,0,16.63,0.0,1.85652173913,7,7540.0
2015-04-25,46,3,0,3.45,0.0,2.15217391304,4,4280.0
2015-04-26,48,12,0,14.07,0.0,1.91875,9,13175.0
2015-04-27,79,13,0,25.6,0.0,1.6417721519,2,5288.0
2015-04-28,74,13,0,16.7,0.0,1.72162162162,3,3394.0
2015-04-29,70,12,0,16.4,0.0,1.88571428571,7,8534.0
2015-04-30,67,9,0,23.34,0.0,1.54029850746,9,15753.0
2015-05-01,73,9,0,19.48,0.0,2.12602739726,6,10700.0
2015-05-02,54,10,0,27.2,0.0,1.62037037037,3,4580.0
2015-05-03,40,8,0,8.28,0.0,1.9375,4,10890.0
2015-05-04,80,12,0,17.48,0.0,1.8875,13,20540.0
2015-05-05,75,14,0,21.15,0.0,1.63866666667,27,39465.0
2015-05-06,66,10,0,18.88,0.0,1.5803030303,16,46169.0
2015-05-07,76,16,0,19.77,0.0,1.91842105263,9,11753.0
2015-05-08,59,11,0,10.42,0.0,1.65423728814,7,11230.0
2015-05-09,55,8,1,9.91,1190.0,1.58909090909,2,8580.0
2015-05-10,46,7,0,17.5,0.0,1.80869565217,2,1900.0
2015-05-11,76,10,0,12.56,0.0,1.89736842105,7,13838.0
2015-05-12,63,10,0,10.07,0.0,1.53492063492,6,15714.0
2015-05-13,63,12,0,22.32,0.0,2.22698412698,16,42705.0
2015-05-14,53,10,0,10.1,0.0,1.70943396226,25,33919.0
2015-05-15,69,13,0,16.76,0.0,1.97826086957,11,19480.0
2015-05-16,29,4,0,4.63,0.0,1.83448275862,2,4490.0
2015-05-17,47,5,0,6.7,0.0,1.54255319149,1,0.0
2015-05-18,63,17,0,19.13,0.0,1.64603174603,3,10340.0
2015-05-19,60,18,1,48.38,0.0,1.70666666667,44,69313.0
2015-05-20,62,13,0,19.95,0.0,1.93225806452,4,4890.0
2015-05-21,65,11,0,15.57,0.0,1.85076923077,23,34275.0
2015-05-22,62,14,0,17.3,0.0,2.13870967742,8,12130.0
2015-05-23,52,10,1,11.68,1190.0,2.07884615385,10,14298.0
2015-05-24,40,10,0,23.39,0.0,2.1125,2,7840.0
2015-05-25,84,15,0,23.91,0.0,1.90357142857,4,4540.0
2015-05-26,80,16,0,29.31,0.0,1.805,5,6540.0
2015-05-27,88,19,0,25.95,0.0,2.04659090909,6,14103.0
2015-05-28,67,13,1,15.9,1740.0,1.64776119403,16,16549.0
2015-05-29,56,5,0,12.25,0.0,1.74821428571,8,9110.0
2015-05-30,26,4,0,15.93,0.0,1.72692307692,7,6090.0
2015-05-31,44,8,0,20.95,0.0,1.86590909091,10,18090.0
2015-06-01,70,14,0,15.4,0.0,1.55714285714,48,173650.0
2015-06-02,79,11,0,14.46,0.0,1.69620253165,18,17618.0
2015-06-03,54,9,0,19.45,0.0,1.67407407407,13,17204.0
2015-06-04,51,6,0,9.41,0.0,1.78431372549,24,53032.0
2015-06-05,63,11,0,18.76,0.0,1.83492063492,10,8370.0
2015-06-06,28,6,0,10.17,0.0,2.04285714286,2,2200.0
2015-06-07,36,5,0,4.42,0.0,1.73333333333,5,12268.0
2015-06-08,59,10,0,17.04,0.0,2.02033898305,21,37446.0
2015-06-09,70,13,1,22.73,1190.0,2.07428571429,37,60285.0
2015-06-10,62,13,0,19.56,0.0,1.50483870968,13,22995.0
2015-06-11,55,7,0,3.85,0.0,1.90909090909,15,26084.0
2015-06-12,60,15,0,26.41,0.0,1.53666666667,11,16900.0
2015-06-13,36,4,0,7.68,0.0,1.68611111111,2,2290.0
2015-06-14,29,6,0,9.51,0.0,1.86206896552,8,4895.0
2015-06-15,68,15,0,17.11,0.0,1.80441176471,12,32810.0
2015-06-16,70,11,0,17.33,0.0,2.01714285714,8,17710.0
2015-06-17,55,14,0,16.63,0.0,1.50727272727,7,6019.0
2015-06-18,73,17,0,16.14,0.0,1.63287671233,11,15960.0
2015-06-19,71,11,0,8.61,0.0,1.75492957746,23,25695.0
2015-06-20,29,1,0,0.11,0.0,1.9275862069,3,5385.0
2015-06-21,53,10,0,7.01,0.0,1.78301886792,7,9970.0
2015-06-22,67,15,0,26.55,0.0,1.78358208955,26,55628.0
2015-06-23,54,9,0,13.97,0.0,1.63888888889,17,48984.0
2015-06-24,56,16,0,31.48,0.0,1.53035714286,20,36440.0
2015-06-25,51,10,0,24.41,0.0,2.27058823529,11,20120.0
2015-06-26,68,16,0,23.05,0.0,1.69264705882,7,6498.0
2015-06-27,43,11,0,15.26,0.0,1.48604651163,3,5950.0
2015-06-28,40,7,1,11.53,4760.0,2.31,26,7300.0
2015-06-29,48,10,0,23.75,0.0,1.95416666667,18,30460.0
2015-06-30,35,10,1,21.55,12000.0,1.82285714286,35,75473.0
2015-07-01,63,17,1,45.15,2140.0,1.40476190476,7,16547.0
2015-07-02,45,7,1,10.09,1740.0,2.18444444444,55,74870.0
2015-07-03,46,11,0,11.65,0.0,1.54782608696,15,24048.0
2015-07-04,35,5,0,10.82,0.0,1.66571428571,26,42278.0
2015-07-05,48,5,0,13.37,0.0,1.90833333333,6,9488.0
2015-07-06,44,5,0,9.33,0.0,2.07272727273,8,15808.0
2015-07-07,57,13,0,27.62,0.0,1.81403508772,17,24060.0
2015-07-08,68,16,1,23.12,2260.0,1.76764705882,22,46734.0
2015-07-09,63,13,0,28.96,0.0,1.94603174603,48,65389.0
2015-07-10,70,8,0,7.09,0.0,1.98428571429,37,46073.4
2015-07-11,29,7,0,6.45,0.0,1.42068965517,10,20658.0
2015-07-12,40,4,0,11.08,0.0,1.8825,16,25830.0
2015-07-13,62,10,0,29.1,0.0,1.88709677419,31,51389.0
2015-07-14,67,15,0,16.12,0.0,1.81641791045,57,88701.0
2015-07-15,57,9,0,9.73,0.0,1.7649122807,61,124142.0
2015-07-16,70,27,2,44.1,3570.0,1.59571428571,15,21838.0
2015-07-17,43,7,0,13.99,0.0,1.82325581395,18,13760.0
2015-07-18,38,7,0,16.6,0.0,1.97368421053,5,12228.0
2015-07-19,45,15,0,28.58,0.0,1.80222222222,12,30955.0
2015-07-20,70,21,0,42.25,0.0,1.71571428571,16,27035.0
2015-07-21,56,11,0,16.58,0.0,1.87321428571,78,73259.0
2015-07-22,49,17,0,26.77,0.0,1.59387755102,9,14664.0
2015-07-23,72,22,0,43.77,0.0,1.62777777778,12,20584.0
2015-07-24,49,9,0,23.5,0.0,1.63673469388,5,5770.0
2015-07-25,29,11,0,29.29,0.0,1.42068965517,7,13200.0
2015-07-26,41,3,1,5.05,4500.0,1.88780487805,7,11680.0
2015-07-27,66,15,0,14.46,0.0,1.70909090909,8,16490.0
2015-07-28,56,11,0,26.44,0.0,1.88571428571,38,51825.0
2015-07-29,63,12,0,11.42,0.0,1.69206349206,17,26649.0
2015-07-30,66,12,0,24.76,0.0,2.24848484848,13,21005.0
2015-07-31,51,13,1,31.27,1190.0,1.57254901961,9,13015.0
